영역,핵심아이디어
수와 연산,"사물의 양은 자연수, 분수, 소수 등으로 표현되며, 수는 자연수에서 정수, 유리수, 실수로 확장된다."
수와 연산,"사칙계산은 자연수에 대해 정의되며 정수, 유리수, 실수의 사칙계산으로 확장되고 이때 연산의 성질이 일관되게 성립한다."
수와 연산,"수와 사칙계산은 수학 학습의 기본이 되며, 실생활 문제를 포함한 다양한 문제를 해결하는 데 유용하게 활용된다."
변화와 관계,"변화하는 현상에 반복적인 요소로 들어있는 규칙은 수나 식으로 표현될 수 있으며, 규칙을 탐구하는 것은 수학적으로 추측하고 일반화하는 데 기반이 된다."
변화와 관계,"동치 관계, 대응 관계, 비례 관계 등은 여러 현상에 들어있는 대상들 사이의 다양한 관계를 기술하고 복잡한 문제를 해결하는 데 유용하게 활용된다."
변화와 관계,"수와 그 계산은 문자와 식을 사용하여 일반화되며, 특정한 관계를 만족시키는 미지의 값은 방정식과 부등식을 해결하는 적절한 절차를 거쳐 구해진다."
변화와 관계,한 양이 변함에 따라 다른 양이 하나씩 정해지는 두 양 사이의 대응 관계를 나타내는 함수와 그 그래프는 변화하는 현상 속의 다양한 관계를 수학적으로 표현한다.
도형과 측정,"평면도형과 입체도형은 여러 가지 모양을 범주화한 것이며, 각각의 평면도형과 입체도형은 고유한 성질을 갖는다."
도형과 측정,도형의 성질과 관계를 탐구하고 정당화하는 것은 논리적이고 비판적으로 사고하는 데 기반이 된다.
도형과 측정,측정은 여러 가지 속성의 양을 비교하고 속성에 따른 단위를 이용하여 양을 수치화함으로써 여러 가지 현상을 해석하거나 실생활 문제를 해결하는 데 활용된다.
자료와 가능성,"자료를 수집, 정리, 해석하는 통계는 자료의 특징을 파악하고 두 집단을 비교하며 자료의 관계를 탐구하는 데 활용된다."
자료와 가능성,"사건이 일어날 가능성을 여러 가지 방법으로 표현하는 것은 불확실성을 이해하는 데 도움이 되며, 가능성을 확률로 수치화하면 불확실성을 수학적으로 다룰 수 있게 된다."
자료와 가능성,자료를 이용하여 통계적 문제해결 과정을 실천하고 생활 속의 가능성을 탐구하는 것은 미래를 예측하고 합리적인 의사 결정을 하는 데 기반이 된다.
공통수학1,"식에 대한 사칙연산과 인수분해는 복잡한 다항식으로 확장되어 적용되며, 방정식과 부등식은 적절한 절차를 통해 해결된다."
공통수학1,순열과 조합은 다양한 상황에서 사건이 일어날 수 있는 모든 경우의 수를 체계적으로 세는 데 활용된다.
공통수학1,여러 값이 포함된 자료는 행렬 표현과 연산을 통해 효율적으로 처리된다.
공통수학2,평면도형을 식으로 표현하는 것은 도형 사이의 위치 관계와 도형의 이동에 대한 탐구의 유용한 도구가 된다.
공통수학2,"집합은 대상을 논리적으로 표현하고 이해하는 도구이며, 명제는 추론을 통해 증명된다."
공통수학2,두 집합 사이의 대응으로 일반화된 함수는 대상 간의 관계를 논리적으로 해석하는 데 활용된다.
기본수학1,"식에 대한 사칙연산과 인수분해는 복잡한 다항식으로 확장되어 적용되며, 방정식과 부등식은 적절한 절차를 통해 해결된다."
